"regine" "main" "date" "FGP" "flood.1" "threshold" "station" "year"
"196" 2 11 "2002-05-13" 0.2413 18.566784 13.5700218 "2.11" "2002"
"197" 2 11 "2003-08-15" 1 13.898293 13.5700218 "2.11" "2003"
"198" 2 11 "2004-05-07" 0.1991 17.879475 13.5700218 "2.11" "2004"
"199" 2 11 "2005-05-25" 0.2277 23.581665 13.5700218 "2.11" "2005"
"200" 2 11 "2006-05-09" 0.0552 20.94322 13.5700218 "2.11" "2006"
"201" 2 11 "2008-05-05" 0.0829 20.10145 13.5700218 "2.11" "2008"
"202" 2 11 "2009-05-02" 0.1359 21.849771 13.5700218 "2.11" "2009"
"203" 2 11 "2010-05-21" 0.1269 28.66341 13.5700218 "2.11" "2010"
"204" 2 11 "2010-06-13" 0.783 13.979768 13.5700218 "2.11" "2010"
"205" 2 11 "2011-04-25" 0.1146 17.155468 13.5700218 "2.11" "2011"
"206" 2 11 "2011-08-17" 1 21.169767 13.5700218 "2.11" "2011"
"207" 2 11 "2012-05-24" 0.2222 28.224941 13.5700218 "2.11" "2012"
"208" 2 11 "2013-05-13" 0.1416 19.506512 13.5700218 "2.11" "2013"
"209" 2 11 "2013-05-23" 0.4159 23.796129 13.5700218 "2.11" "2013"
"210" 2 11 "2014-05-24" 0.2351 32.461075 13.5700218 "2.11" "2014"
"211" 2 11 "2015-06-08" 0.7487 15.781325 13.5700218 "2.11" "2015"
